query,comment,true_label
How to use the Sandy effectively in melee?,Someone please help me find a good monitor for gaming.,0
What is the best build to beat the Elden Beast?,Loss bonus maxes at 2900. Use this to calculate if you can buy next round.,0
Is stealth viable in Cyberpunk Phantom Liberty?,"Animations may look slightly delayed, but the hit-registration is timestamped.",0
Best cyberdeck for a netrunner build 2.0?,Raven Microcyber is best for contagion builds since it spreads immediately.,1
How to improve aiming in Valorant?,"Go into the corner by T spawn, aim at the rug overlapping the wall, forward jump-throw.",0
Best cyberdeck for a netrunner build 2.0?,Skill issue.,0
Best way to hold B site on Dust 2?,"One player window with an AWP, one player close left tunnel with a flash. Would definitely recommend trying this.",1
How does the economy work for loss bonus?,"Here's what worked for me: 1900 base loss, +500 for each consecutive loss maxing at 2900.",1
When should you buy a helmet on CT side?,Here's what worked for me: Always buy helmet if Ts are force buying Mac-10s or Tec-9s.,1
Best cyberdeck for a netrunner build 2.0?,Tetratronic Rippler is king. It massively boosts combat quickhack damage.,1
How do you dodge Waterfowl Dance from Malenia?,"You get 1900 for loss 1, 2400 for loss 2, and 2900 for loss 3 or more.",0
How to use the Sandy effectively in melee?,"My framerate keeps dropping to 20fps, any fix?",0
Is stealth viable in Cyberpunk Phantom Liberty?,"If you got 3+ kills, buy a Vandal/Phantom. Otherwise, Spectre.",0
How to use the Sandy effectively in melee?,Servers are down again. Awesome.,0
When should you buy a helmet on CT side?,"Basically, If you are awping, skip the helmet to afford the AWP earlier.",1
What is the best build to beat the Elden Beast?,Does anyone know when the DLC drops?,0
What is the best Y level to mine for diamonds in 1.20?,I rage quit and threw my controller out the window.,0
Best smoke for Window on Mirage?,Lower your sensitivity. Most pros play around 200-400 eDPI.,0
What is the best Y level to mine for diamonds in 1.20?,The deeper the better. Stop right before bedrock at -59 for maximum efficiency.,1
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,Someone please help me find a good monitor for gaming.,0
How does the economy work for loss bonus?,Console is better than PC anyway.,0
Where to get the Apogee Sandevistan?,Tier 5 cyberware starts appearing at level 40. Apogee is among them.,1
How to cure a zombie villager?,Stealth netrunning is the most overpowered build in the game if done right.,0
How do you build a fully automatic wheat farm?,"This is the correct answer. Set up a farmer villager in a 9x9 farm, place a fence and hopper in the center.",1
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,I just spent 10 hours playing and forgot to eat.,0
Best smoke for Window on Mirage?,A standard jumpthrow from the trash bin in T spawn. Crosshair at the white cloud. This made a huge difference.,1
What is the best eco weapon round 2 after winning pistol?,This is solid advice: Ares is actually decent if you plan to spam B main walls on Ascent.,1
When should you buy a helmet on CT side?,"If Ts are on eco, helmet is mandatory so you don't get one-tapped by a glock.",1
Where to get the Apogee Sandevistan?,"In phantom liberty, you can buy it in Dogtown as long as you are level 40.",1
What is the best Y level to mine for diamonds in 1.20?,"After hours of trying, I can say: Y-level -59 is the optimal height since diamonds spawn more frequently deeper down.",1
What is the best eco weapon round 2 after winning pistol?,"Use potion of weakness and a regular golden apple, NOT an enchanted golden apple.",0
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,"It records inputs independent of server update frames, making spray control different.",0
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,"If Ts are on eco, helmet is mandatory so you don't get one-tapped by a glock.",0
How do you build a fully automatic wheat farm?,"Water streams pushing wheat into hoppers is manual. For automatic, use Villager mechanics. This is the most reliable method.",1
How does the economy work for loss bonus?,"My internet is lagging hard today, can't even play.",0
How to cure a zombie villager?,"Use potion of weakness and a regular golden apple, NOT an enchanted golden apple. This strategy helped me a lot.",1
What is the most efficient way to get Netherite?,Can someone gift me a skin?,0
Best cyberdeck for a netrunner build 2.0?,Tetratronic Rippler. Pair it with Overclock and you become a god. This strategy helped me a lot.,1
Is stealth viable in Cyberpunk Phantom Liberty?,The graphics look way better after the last patch.,0
How to improve aiming in Valorant?,"Look at the target, not your crosshair. Let peripheral vision align it.",1
What is the best eco weapon round 2 after winning pistol?,"This is the correct answer. If you got 3+ kills, buy a Vandal/Phantom. Otherwise, Spectre.",1
Best cyberdeck for a netrunner build 2.0?,For pure damage: Tetratronic Rippler. For stealth: Arasaka.,1
What are the soft caps for Vigor in Elden Ring?,Can confirm this works. Stop at 60 Vigor. Anything past 60 gives almost zero HP gains.,1
What is the best eco weapon round 2 after winning pistol?,Marshal is a great buy if you have good aim. 101 damage to the body.,1
How to improve aiming in Valorant?,Has anyone tried the new update? It broke my save file.,0
Best smoke for Window on Mirage?,Console is better than PC anyway.,0
Best smoke for Window on Mirage?,Miyazaki is a genius.,0
How does the economy work for loss bonus?,Max loss bonus is 2900. Winning a round resets it back to normal.,1
How do you dodge Waterfowl Dance from Malenia?,"From my experience, Block the first flurry with a 100% physical shield, then dodge the rest.",1
How does the sub-tick system work in CS2?,Explosions don't destroy Ancient Debris. Use beds or TNT at Y=15.,0
How do you build a fully automatic wheat farm?,"Just watched a streamer play this, looks fun.",0
How to cure a zombie villager?,Why are the devs ignoring the real bugs?,0
How does the sub-tick system work in CS2?,Do not level past 60 Vigor. Diminishing returns hit like a truck after that.,0
When should you buy a helmet on CT side?,"Just tried this. Only buy helmet against eco rounds, gallels, or SMGs. AKs one-shot helmets anyway.",1
Best controller agent for Ascent?,Any asked?,0
How to improve aiming in Valorant?,"Look at the target, not your crosshair. Let peripheral vision align it. This strategy helped me a lot.",1
How do you dodge Waterfowl Dance from Malenia?,I paused the game to make a sandwich and won somehow.,0
How do you build a fully automatic wheat farm?,I think the soundtrack is the best part of this game.,0
What is the best Y level to mine for diamonds in 1.20?,Can confirm this works. The deeper the better. Stop right before bedrock at -59 for maximum efficiency.,1
How do you dodge Waterfowl Dance from Malenia?,If you are point blank: circle around her left leg then roll forward twice.,1
How does the sub-tick system work in CS2?,It essentially simulates 128-tick accuracy without the server load.,1
How to cure a zombie villager?,Console is better than PC anyway.,0
Best cyberdeck for a netrunner build 2.0?,Netwatch is better if you prefer controlling devices and cars.,1
How does the economy work for loss bonus?,Dual-wield curved swords with jump attacks breaks its poise fast.,0
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,Strike weapons deal x4 damage to the boss that drops it. This made a huge difference.,1
Where to get the Apogee Sandevistan?,Someone please help me find a good monitor for gaming.,0
How do you build a fully automatic wheat farm?,Enclose an 8x8 dirt area with water in middle. Add a farmer villager and hopper carts underneath.,1
How to cure a zombie villager?,"Throw a Splash Potion of Weakness at it, then feed it a Golden Apple.",1
Best cyberdeck for a netrunner build 2.0?,"Trap it, weakness potion, golden apple. Wait about 3 minutes for it to shake and cure.",0
How to cure a zombie villager?,Touch grass.,0
When should you buy a helmet on CT side?,Always buy helmet if Ts are force buying Mac-10s or Tec-9s.,1
How to improve aiming in Valorant?,Wait for the mobile port.,0
What is the best Y level to mine for diamonds in 1.20?,Make sure to get the 'Bullet Time Ninja' perk tree for infinite stamina during it.,0
Best controller agent for Ascent?,Can confirm this works. Omen is easily the best. He can one-way the A main entrance easily.,1
How to cure a zombie villager?,"From my experience, Splash weakness, feed golden apple. You will hear a loud thumping sound while it cures.",1
What is the best build to beat the Elden Beast?,I think the soundtrack is the best part of this game.,0
What is the best Y level to mine for diamonds in 1.20?,"Basically, Dig to -59. It is much better than the old Y=11 from previous versions.",1
What is the best Y level to mine for diamonds in 1.20?,"My internet is lagging hard today, can't even play.",0
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,It's great. Grab the 'Gag Order' perk and you can stealth-kill enemies in crowds.,0
What is the best build to beat the Elden Beast?,"After hours of trying, I can say: Stay behind it when it breathes fire, you can get 4-5 free hits.",1
How do you build a fully automatic wheat farm?,Someone please help me find a good monitor for gaming.,0
What is the most efficient way to get Netherite?,"Activate Sandevistan, dash behind them, use heavy katanas attacks for dismemberment.",0
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,Go to the orange cave dot on the map northeast of Liurnia lakes.,1
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,"Located in the Liurnia of the Lakes region, inside the Crystal Tunnel. This strategy helped me a lot.",1
Best cyberdeck for a netrunner build 2.0?,Any asked?,0
What is the most efficient way to get Netherite?,Use the bed explosion method at Y=15 in the Nether. It blows up huge chunks of Netherrack.,1
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,"This is solid advice: Located in the Liurnia of the Lakes region, inside the Crystal Tunnel.",1
How does the economy work for loss bonus?,Skill issue.,0
What is the best build to beat the Elden Beast?,I just spent 10 hours playing and forgot to eat.,0
What are the soft caps for Vigor in Elden Ring?,"Aim for 40 early game, then push to 60 for Mountaintops of the Giants. Would definitely recommend trying this.",1
What is the best eco weapon round 2 after winning pistol?,Buy full armor and a Spectre. Force the enemy to fight an unfair gunfight. This is the most reliable method.,1
What is the best eco weapon round 2 after winning pistol?,"If you play Jett, buy a Marshal and hold long angles. This made a huge difference.",1
What is the best Y level to mine for diamonds in 1.20?,It essentially simulates 128-tick accuracy without the server load.,0
How to improve aiming in Valorant?,This is the correct answer. Practice counter-strafing in the range until shooting feels perfectly accurate.,1
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,Imagine paying $60 for this.,0
What is the best build to beat the Elden Beast?,Imagine paying $60 for this.,0
How to use the Sandy effectively in melee?,Throwing knives are broken with Sandy. You can headshot 5 people in frozen time.,1
How do you dodge Waterfowl Dance from Malenia?,Bro just git gud lmao.,0
How does the economy work for loss bonus?,Throwing knives are broken with Sandy. You can headshot 5 people in frozen time.,0
How to use the Sandy effectively in melee?,"The villager throws bread/wheat to another trapped villager, but a hopper intercepts it.",0
What is the most efficient way to get Netherite?,Who even plays this mode anymore?,0
What is the best Y level to mine for diamonds in 1.20?,"Go down to Y=-59, right above the bedrock layer, for the highest diamond concentration.",1
What is the best eco weapon round 2 after winning pistol?,Does anyone know when the DLC drops?,0
Best cyberdeck for a netrunner build 2.0?,"Arasaka Mk.5 is great for stealth builds, reduces trace progression.",1
Best controller agent for Ascent?,Ancient debris spawns most at Y=15. Bed mining is the fastest way to clear area.,0
What is the most efficient way to get Netherite?,"My internet is lagging hard today, can't even play.",0
What are the soft caps for Vigor in Elden Ring?,"Seconding this advice. 40 gives you 1450 HP, 60 gives you 1900 HP. That's the sweet spot.",1
What is the best eco weapon round 2 after winning pistol?,Console is better than PC anyway.,0
Best smoke for Window on Mirage?,"Crouch in T spawn trash can, aim top of the antenna, jump throw.",1
How to cure a zombie villager?,"Trap it, weakness potion, golden apple. Wait about 3 minutes for it to shake and cure. Tested this myself and it works perfectly.",1
Where to get the Apogee Sandevistan?,Here's what worked for me: Ripperdocs sell it everywhere once you reach the level tier 5 threshold.,1
Best cyberdeck for a netrunner build 2.0?,The real boss is the friends we made along the way.,0
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,Strike weapons deal x4 damage to the boss that drops it.,1
What is the best Y level to mine for diamonds in 1.20?,Y = -59. Use a trapdoor to crawl-mine in a 1x1 hole to expose more blocks faster.,1
What are the soft caps for Vigor in Elden Ring?,Vigor scales best between levels 30 and 40. The absolute cap to aim for is 60.,1
Where to get the Apogee Sandevistan?,"Just level up. Cyberware is tied to player level now, unlocks fully at 40.",1
How to improve aiming in Valorant?,"Strip mining with an Efficiency 5 pickaxe at Y=15 is safer, but beds are faster.",0
Best controller agent for Ascent?,"Omen. Period. Flash B main, teleport into boathouse.",1
What are the soft caps for Vigor in Elden Ring?,"Aim for 40 early game, then push to 60 for Mountaintops of the Giants.",1
Is stealth viable in Cyberpunk Phantom Liberty?,"This game is dead, uninstall it.",0
Best way to hold B site on Dust 2?,Flash the tunnel right at 1:40 to catch the aggressive T push.,1
What is the most efficient way to get Netherite?,Console is better than PC anyway.,0
How does the economy work for loss bonus?,The real boss is the friends we made along the way.,0
How do you build a fully automatic wheat farm?,"Give a farmer villager seeds, fill his inventory so he can't pick up wheat, use hoppers below.",1
Best smoke for Window on Mirage?,Who else remembers when this game first launched?,0
How do you build a fully automatic wheat farm?,Put a hopper minecart track below the dirt to collect the items the villager drops.,1
How to use the Sandy effectively in melee?,Console is better than PC anyway.,0
How to use the Sandy effectively in melee?,"Get the scalpel katana, it has 50% extra crit chance during Sandevistan.",1
When should you buy a helmet on CT side?,Wait for the mobile port.,0
Is stealth viable in Cyberpunk Phantom Liberty?,Throwing knife headshots instantly kill unarmored enemies without alerting anyone.,1
How to use the Sandy effectively in melee?,Any asked?,0
How does the economy work for loss bonus?,Loss bonus maxes at 2900. Use this to calculate if you can buy next round.,1
Best controller agent for Ascent?,You need Omen because you need regenerating smokes for middle control.,1
What is the best Y level to mine for diamonds in 1.20?,Has anyone tried the new update? It broke my save file.,0
Best smoke for Window on Mirage?,"I agree. Go into the corner by T spawn, aim at the rug overlapping the wall, forward jump-throw.",1
When should you buy a helmet on CT side?,"I agree. If Ts are on eco, helmet is mandatory so you don't get one-tapped by a glock.",1
How to use the Sandy effectively in melee?,Stop at 60 Vigor. Anything past 60 gives almost zero HP gains.,0
How to improve aiming in Valorant?,Only burst 2-3 bullets then strafe. Spraying is pure RNG after bullet 4.,1
What are the soft caps for Vigor in Elden Ring?,Going from 40 to 60 gives you ~450 HP. Going from 60 to 99 gives ~100 HP. Stop at 60.,1
What is the best Y level to mine for diamonds in 1.20?,Strip mine at Y -58 or -59. Bring a water bucket for lava.,1
How do you dodge Waterfowl Dance from Malenia?,This is the correct answer. Use Raptor of the Mists ash of war to jump completely over the first flurry.,1
Best cyberdeck for a netrunner build 2.0?,Is my RTX 3060 enough to run this on ultra?,0
What is the best eco weapon round 2 after winning pistol?,I paused the game to make a sandwich and won somehow.,0
How to use the Sandy effectively in melee?,"This is the correct answer. Get the scalpel katana, it has 50% extra crit chance during Sandevistan.",1
When should you buy a helmet on CT side?,Has anyone tried the new update? It broke my save file.,0
Where to get the Apogee Sandevistan?,Petition to ban the developers.,0
How to use the Sandy effectively in melee?,Make sure to get the 'Bullet Time Ninja' perk tree for infinite stamina during it. This made a huge difference.,1
What is the best Y level to mine for diamonds in 1.20?,I think the soundtrack is the best part of this game.,0
What is the most efficient way to get Netherite?,"TNT mining at Y level 15. If you lack gunpowder, use beds instead.",1
What are the soft caps for Vigor in Elden Ring?,Can someone gift me a skin?,0
How does the sub-tick system work in CS2?,"After hours of trying, I can say: It records inputs independent of server update frames, making spray control different.",1
What is the best eco weapon round 2 after winning pistol?,Servers are down again. Awesome.,0
How does the economy work for loss bonus?,Throwing a projectile to trigger it early when she's at 70% HP helps control pacing.,0
How to cure a zombie villager?,"You need to craft a weakness potion, turn it into splash with gunpowder, and use a golden apple.",1
How does the economy work for loss bonus?,"From my experience, 1900 base loss, +500 for each consecutive loss maxing at 2900.",1
Is stealth viable in Cyberpunk Phantom Liberty?,"From my experience, Yes, use the 'Her Majesty' pistol you get in the DLC, it has perfect stealth stats.",1
How to improve aiming in Valorant?,Reach Level 40+ and buy it for ~110k eddies from any ripperdoc.,0
How does the sub-tick system work in CS2?,Bro just git gud lmao.,0
How to improve aiming in Valorant?,"Warm up with 100 bots in the range, practice flicking smoothly not fast. Tested this myself and it works perfectly.",1
Best way to hold B site on Dust 2?,If you are point blank: circle around her left leg then roll forward twice.,0
How to cure a zombie villager?,Can someone gift me a skin?,0
How to use the Sandy effectively in melee?,I just spent 10 hours playing and forgot to eat.,0
What is the best build to beat the Elden Beast?,Here's what worked for me: Use Bloodhound Step to easily dodge the Elden Stars attack.,1
How to use the Sandy effectively in melee?,"This game is dead, uninstall it.",0
How do you dodge Waterfowl Dance from Malenia?,"It's just RNG honestly, keep trying.",0
How to improve aiming in Valorant?,Can someone gift me a skin?,0
Where to get the Apogee Sandevistan?,"Basically, No specific location anymore in 2.0. All ripperdocs sell it at tier 5 (level 40).",1
What are the soft caps for Vigor in Elden Ring?,I just started playing this game yesterday and I have no idea what's going on.,0
When should you buy a helmet on CT side?,"If you are awping, skip the helmet to afford the AWP earlier.",1
How to improve aiming in Valorant?,I agree. Focus on crosshair placement. Always aim at head height at the corners.,1
What is the best eco weapon round 2 after winning pistol?,"Basically, Buy full armor and a Spectre. Force the enemy to fight an unfair gunfight.",1
What is the most efficient way to get Netherite?,The Apogee is level-locked. Grind to level 40 and check any Ripperdoc trade menu.,0
What are the soft caps for Vigor in Elden Ring?,"Basically, Going from 40 to 60 gives you ~450 HP. Going from 60 to 99 gives ~100 HP. Stop at 60.",1
Best cyberdeck for a netrunner build 2.0?,Tetratronic Rippler Mk.5 has the best queue execution speed and RAM recovery.,1
How to use the Sandy effectively in melee?,Is this game worth buying on sale?,0
What are the soft caps for Vigor in Elden Ring?,Strip mine at Y -58 or -59. Bring a water bucket for lava.,0
When should you buy a helmet on CT side?,Explosions don't destroy Ancient Debris. Use beds or TNT at Y=15.,0
Best way to hold B site on Dust 2?,I think the soundtrack is the best part of this game.,0
How do you build a fully automatic wheat farm?,"From my experience, You need an enclosed farm, a composter, and a villager whose inventory is full of seeds.",1
Best way to hold B site on Dust 2?,"Get the scalpel katana, it has 50% extra crit chance during Sandevistan.",0
Best way to hold B site on Dust 2?,Crossfire from closet and window is almost impossible for Ts to break without utility.,1
How to improve aiming in Valorant?,Petition to ban the developers.,0
How do you dodge Waterfowl Dance from Malenia?,Does anyone know when the DLC drops?,0
How to cure a zombie villager?,Going from 40 to 60 gives you ~450 HP. Going from 60 to 99 gives ~100 HP. Stop at 60.,0
Best cyberdeck for a netrunner build 2.0?,Anyone want to queue together? Drop your discord.,0
Best smoke for Window on Mirage?,Wait for the mobile port.,0
What is the best build to beat the Elden Beast?,"Seconding this advice. Don't lock on when it flies up, track the rings manually and jump.",1
Where to get the Apogee Sandevistan?,"If you know they have AKs, the helmet literally does nothing. Just buy kevlar.",0
What is the most efficient way to get Netherite?,I miss the old days before the nerfs.,0
What is the best Y level to mine for diamonds in 1.20?,"From my experience, Mine at -58 or -59. Beware of lava lakes at this depth.",1
Best cyberdeck for a netrunner build 2.0?,The deeper the better. Stop right before bedrock at -59 for maximum efficiency.,0
How does the sub-tick system work in CS2?,I miss the old days before the nerfs.,0
How to use the Sandy effectively in melee?,"Use optical camo right before popping Sandy, they won't even see you.",1
How to improve aiming in Valorant?,"Basically, Only burst 2-3 bullets then strafe. Spraying is pure RNG after bullet 4.",1
What is the best eco weapon round 2 after winning pistol?,Use Raptor of the Mists ash of war to jump completely over the first flurry.,0
What are the soft caps for Vigor in Elden Ring?,Flash the tunnel right at 1:40 to catch the aggressive T push.,0
Is stealth viable in Cyberpunk Phantom Liberty?,Seconding this advice. Absolutely. The Cool skill tree got completely reworked to make stealth amazing.,1
How does the economy work for loss bonus?,Console is better than PC anyway.,0
Where to get the Apogee Sandevistan?,Miyazaki is a genius.,0
What is the best build to beat the Elden Beast?,Petition to ban the developers.,0
Best cyberdeck for a netrunner build 2.0?,Console is better than PC anyway.,0
How to cure a zombie villager?,"Run away for flurry 1, roll into her for flurry 2, walk right for flurry 3.",0
How does the sub-tick system work in CS2?,"It records inputs independent of server update frames, making spray control different.",1
Best smoke for Window on Mirage?,Miyazaki is a genius.,0
How do you dodge Waterfowl Dance from Malenia?,Any asked?,0
What is the best eco weapon round 2 after winning pistol?,Bro just git gud lmao.,0
What is the best build to beat the Elden Beast?,Can confirm this works. Use Bloodhound Step to easily dodge the Elden Stars attack.,1
How does the sub-tick system work in CS2?,Touch grass.,0
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,It's in the Raya Lucaria Crystal Tunnel. Just run past the miners to the boss. Tested this myself and it works perfectly.,1
Best cyberdeck for a netrunner build 2.0?,Imagine paying $60 for this.,0
Best cyberdeck for a netrunner build 2.0?,Tetratronic Rippler. Pair it with Overclock and you become a god.,1
How do you build a fully automatic wheat farm?,Enclose an 8x8 dirt area with water in middle. Add a farmer villager and hopper carts underneath. This strategy helped me a lot.,1
What is the best eco weapon round 2 after winning pistol?,Can confirm this works. Marshal is a great buy if you have good aim. 101 damage to the body.,1
How does the economy work for loss bonus?,Losing nets 1900 -> 2400 -> 2900. Plating spike gives an extra 300.,1
Where to get the Apogee Sandevistan?,Tier 5 cyberware starts appearing at level 40. Apogee is among them. Would definitely recommend trying this.,1
Best controller agent for Ascent?,Brimstone is okay for executes but Omen's global range makes him the top pick.,1
Best controller agent for Ascent?,"Yes, the new pistol perk tree makes silenced revolvers one-shot everything.",0
Where to get the Apogee Sandevistan?,Use Freezing Pot when she jumps in the air to instantly cancel the attack.,0
What is the best build to beat the Elden Beast?,Can someone gift me a skin?,0
How does the economy work for loss bonus?,Imagine paying $60 for this.,0
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,"Basically, If you clear the Raya Lucaria Crystal Tunnel, the boss drops it.",1
How do you build a fully automatic wheat farm?,Raven Microcyber is best for contagion builds since it spreads immediately.,0
How do you build a fully automatic wheat farm?,"Can confirm this works. Give a farmer villager seeds, fill his inventory so he can't pick up wheat, use hoppers below.",1
What is the most efficient way to get Netherite?,"Can confirm this works. Strip mining with an Efficiency 5 pickaxe at Y=15 is safer, but beds are faster.",1
Best cyberdeck for a netrunner build 2.0?,Tetratronic Rippler Mk.5 has the best queue execution speed and RAM recovery. Would definitely recommend trying this.,1
What is the best eco weapon round 2 after winning pistol?,Anyone want to queue together? Drop your discord.,0
What are the soft caps for Vigor in Elden Ring?,"My internet is lagging hard today, can't even play.",0
What is the most efficient way to get Netherite?,I literally fell asleep reading this post.,0
Best cyberdeck for a netrunner build 2.0?,Here's what worked for me: Netwatch is better if you prefer controlling devices and cars.,1
What are the soft caps for Vigor in Elden Ring?,Crossfire from closet and window is almost impossible for Ts to break without utility.,0
How to cure a zombie villager?,"Splash weakness, feed golden apple. You will hear a loud thumping sound while it cures.",1
What is the best Y level to mine for diamonds in 1.20?,I agree. Strip mine at Y -58 or -59. Bring a water bucket for lava.,1
Best smoke for Window on Mirage?,Console is better than PC anyway.,0
When should you buy a helmet on CT side?,I miss the old days before the nerfs.,0
When should you buy a helmet on CT side?,Never buy a helmet if you know the Ts have full AKs and AWPs. It's a waste of $350.,1
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,You need to kill the boss in the crystal cave in Liurnia.,1
How to cure a zombie villager?,"Just tried this. Hit them with weakness splash potion, then click them with a regular Golden Apple.",1
How does the sub-tick system work in CS2?,"Unlike 64-tick, sub-tick timestamps your actions so movement and shooting are exact.",1
How does the economy work for loss bonus?,"If you survive the round but lose the objective, you only get 1000 credits. Tested this myself and it works perfectly.",1
Best smoke for Window on Mirage?,Just tried this. Aim at the right side of the wooden plank from T-spawn steps. Jump throw.,1
How to cure a zombie villager?,"Get a brewer, make weakness potion, splash it on the zombie, give it a gold apple.",1
What is the best eco weapon round 2 after winning pistol?,Buy a Spectre and heavy shields. You can run and gun the unarmored enemies. This strategy helped me a lot.,1
What is the best build to beat the Elden Beast?,Is this game worth buying on sale?,0
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,Skip the head armor if the enemy economy is maxed. It saves you enough for a flashbang.,0
Best cyberdeck for a netrunner build 2.0?,I just spent 10 hours playing and forgot to eat.,0
What are the soft caps for Vigor in Elden Ring?,Stop at 60 Vigor. Anything past 60 gives almost zero HP gains.,1
Is stealth viable in Cyberpunk Phantom Liberty?,I literally fell asleep reading this post.,0
What is the best build to beat the Elden Beast?,I just started playing this game yesterday and I have no idea what's going on.,0
What are the soft caps for Vigor in Elden Ring?,"40 Vigor is mandatory for mid-game, 60 is mandatory for late game/DLC.",1
How does the sub-tick system work in CS2?,You just have to practice the spacing. Sprinting away immediately is key.,0
What is the most efficient way to get Netherite?,"Basically, TNT duplication flying machines are technically the fastest if you build one at Y=15.",1
Best smoke for Window on Mirage?,"Go into the corner by T spawn, aim at the rug overlapping the wall, forward jump-throw.",1
Best cyberdeck for a netrunner build 2.0?,"My framerate keeps dropping to 20fps, any fix?",0
Where to get the Apogee Sandevistan?,Wait until level 40. Then go to Viktor or the ripperdoc in Heywood.,1
Best way to hold B site on Dust 2?,Is this game worth buying on sale?,0
How to improve aiming in Valorant?,"From my experience, Lower your sensitivity. Most pros play around 200-400 eDPI.",1
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,"Just watched a streamer play this, looks fun.",0
What is the best eco weapon round 2 after winning pistol?,My cat walked on my keyboard and played better than you.,0
How do you build a fully automatic wheat farm?,"You need an enclosed farm, a composter, and a villager whose inventory is full of seeds.",1
What is the best build to beat the Elden Beast?,I rage quit and threw my controller out the window.,0
How to improve aiming in Valorant?,Petition to ban the developers.,0
How does the sub-tick system work in CS2?,It processes actions exactly when they happen between standard server ticks.,1
How to cure a zombie villager?,"My framerate keeps dropping to 20fps, any fix?",0
How do you dodge Waterfowl Dance from Malenia?,Equip a medium shield with Vow of the Indomitable ash of war.,1
How do you build a fully automatic wheat farm?,"Give a farmer villager seeds, fill his inventory so he can't pick up wheat, use hoppers below. Would definitely recommend trying this.",1
Best way to hold B site on Dust 2?,"The villager throws bread/wheat to another trapped villager, but a hopper intercepts it.",0
What is the most efficient way to get Netherite?,You can buy it from any ripperdoc once you reach level 40.,0
Is stealth viable in Cyberpunk Phantom Liberty?,Console is better than PC anyway.,0
Best controller agent for Ascent?,"Viper is terrible on Ascent, play Omen or a good Brimstone.",1
How does the economy work for loss bonus?,"If you lose three rounds in a row, you max out the loss bonus at 2900 credits.",1
Best controller agent for Ascent?,You need Omen because you need regenerating smokes for middle control. This strategy helped me a lot.,1
How to improve aiming in Valorant?,Touch grass.,0
How to improve aiming in Valorant?,It essentially simulates 128-tick accuracy without the server load.,0
What is the most efficient way to get Netherite?,Go to Y-level 15 in the Nether. Dig a long tunnel and explode beds every 5 blocks.,1
How do you build a fully automatic wheat farm?,"This is solid advice: Trap a villager. Every time he harvests the wheat, the hopper minecart below grabs it.",1
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,Northeast corner of Liurnia. Look for the cave entrance below the cliffs.,1
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,"From my experience, Northeast corner of Liurnia. Look for the cave entrance below the cliffs.",1
How to cure a zombie villager?,Does anyone know when the DLC drops?,0
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,Bro just git gud lmao.,0
Where do I find the Smithing-Stone Miner's Bell Bearing 1?,"Located in the Liurnia of the Lakes region, inside the Crystal Tunnel.",1
What is the best eco weapon round 2 after winning pistol?,"If you play Jett, buy a Marshal and hold long angles.",1
What is the most efficient way to get Netherite?,"Here's what worked for me: TNT mining at Y level 15. If you lack gunpowder, use beds instead.",1
What is the best build to beat the Elden Beast?,"Haligdrake Talisman +2 is mandatory, reduces holy damage massively.",1
How do you build a fully automatic wheat farm?,"Here's what worked for me: The villager throws bread/wheat to another trapped villager, but a hopper intercepts it.",1
What is the best eco weapon round 2 after winning pistol?,Buy full armor and a Spectre. Force the enemy to fight an unfair gunfight.,1
Is stealth viable in Cyberpunk Phantom Liberty?,Absolutely. The Cool skill tree got completely reworked to make stealth amazing.,1
When should you buy a helmet on CT side?,Skill issue.,0
Best smoke for Window on Mirage?,The real boss is the friends we made along the way.,0
How to improve aiming in Valorant?,I think the soundtrack is the best part of this game.,0
How does the economy work for loss bonus?,Throwing knife headshots instantly kill unarmored enemies without alerting anyone.,0
What is the best Y level to mine for diamonds in 1.20?,The real boss is the friends we made along the way.,0
Best smoke for Window on Mirage?,You must use a villager. Redstone water farms require you to replant manually.,0
How does the economy work for loss bonus?,Always check the minimum next round credits on the buy menu. Loss adds 1900+.,1
When should you buy a helmet on CT side?,"Can confirm this works. Buy a helmet on round 2 if you won pistol. Otherwise, analyze their economy.",1
Best smoke for Window on Mirage?,"This is solid advice: Crouch in T spawn trash can, aim top of the antenna, jump throw.",1
How to use the Sandy effectively in melee?,"From my experience, Turn it on, sprint into the middle of the room, throwing knife everyone's head.",1
How does the sub-tick system work in CS2?,Can confirm this works. Sub-tick eliminates the need for jump-throw binds because the timestamp is exact.,1
